designation,source_id,ra,dec,l,b,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,astrometric_params_solved,type_best_classification,mode_best_classification
Gaia DR3 4659062570029765376,4659062570029765376,87.59477647361855,-68.76327721939583,278.9645428403315,-30.65669016881231,-0.07233536362068112,0.027607296,-2.620154,15.81444,1.5466927,,-87.61569928344238,31,DCEP,FUNDAMENTAL
Gaia DR3 4659217463735150848,4659217463735150848,87.15231823501387,-67.7103021717741,277.7527347722986,-30.883701972458223,-0.00429992558325356,0.02065524,-0.208176,15.190979,1.5627506,,-88.40473600364403,31,DCEP,FIRST_OVERTONE
Gaia DR3 6014656949896899456,6014656949896899456,236.05056690837583,-34.77634483902387,338.68989120229656,15.836246047623534,0.03779373641824084,0.05911933,0.6392788,16.587336,1.5106378,,-14.612321952164917,31,DCEP,FIRST_OVERTONE
Gaia DR3 2161802759729724288,2161802759729724288,314.58838300872,42.365971417196725,83.96304690502203,-2.2091342926284447,0.11692579999280123,0.08055456,1.4515107,17.612879,,1.212069,55.84930761136736,95,DCEP,MULTI
Gaia DR3 2177330376481113600,2177330376481113600,318.20134746054686,56.320297809110656,95.90786923143698,5.391209967082521,0.05465463067527361,0.020348012,2.6859934,15.109154,1.3506945,,65.57563233513507,31,DCEP,FIRST_OVERTONE
Gaia DR3 2177714415280658944,2177714415280658944,323.7276154124437,55.94225581368346,97.84017191931154,2.9603704077985777,0.10308958507623804,0.016727012,6.16306,12.890394,1.3280722,,63.1134492039167,31,DCEP,FUNDAMENTAL
Gaia DR3 4152072840713183360,4152072840713183360,269.62957507949733,-11.079555699214538,16.95912241952744,6.445506296081128,0.021940148510157395,0.05298124,0.41411167,16.123766,1.3668643,,12.359246655569102,31,DCEP,FUNDAMENTAL
Gaia DR3 4090011284838404224,4090011284838404224,278.1729479410113,-22.155958123589024,11.081326842595548,-6.005168696060198,0.0778659031064312,0.03741639,2.081064,15.737804,1.4965749,,1.0688916317886341,31,DCEP,FIRST_OVERTONE
Gaia DR3 4650840353365587584,4650840353365587584,85.25860823172587,-72.5747100498263,283.47184052947364,-31.040820450404112,-0.0133531149905817,0.029440358,-0.45356497,16.018227,1.5544045,,-83.76706039144145,31,DCEP,FIRST_OVERTONE
Gaia DR3 4651043518267084416,4651043518267084416,83.26823752122635,-71.62123437228576,282.4768623917616,-31.790598744659125,-0.06983838170593334,0.022665609,-3.081249,14.995737,1.5690403,,-84.40589741813432,31,DCEP,FIRST_OVERTONE
Gaia DR3 4651051700137209344,4651051700137209344,83.65009634816246,-71.46041580347477,282.26744779732746,-31.69697410378933,-0.058033394209925634,0.033693757,-1.7223781,16.24092,1.5608075,,-84.60478199415437,31,DCEP,FIRST_OVERTONE
Gaia DR3 4651056682298840704,4651056682298840704,82.99187557187894,-71.34679319048044,282.17521831832664,-31.92242262449972,0.038493045502920945,0.03376691,1.1399635,15.997992,1.5080987,,-84.60042258968203,31,DCEP,FUNDAMENTAL
Gaia DR3 4663760164739511552,4663760164739511552,76.23525622320686,-65.60721652085385,275.98172609752976,-35.4502712138118,0.027438916861768976,0.018535035,1.4803813,14.606213,1.520964,,-84.35102475362244,31,DCEP,FUNDAMENTAL
Gaia DR3 6053215207813595392,6053215207813595392,180.4860432923017,-64.85155466996149,297.70225614053186,-2.483546204538673,0.03791987415185741,0.017181313,2.2070417,14.39175,1.2994922,,-56.004327475763155,31,DCEP,FUNDAMENTAL
Gaia DR3 4767484964954044544,4767484964954044544,87.95841489526128,-55.741492153357335,263.8396835367858,-30.378206465122624,-0.011687894726397524,0.021912983,-0.53337765,15.359387,1.5717672,,-79.13747429823297,31,DCEP,FIRST_OVERTONE
Gaia DR3 4156360424971735808,4156360424971735808,278.16819767002397,-8.799120459376846,22.969800220882462,0.12493459068356781,0.23121034654291667,0.05591732,4.134861,14.114213,1.1567774,,14.404131035888835,31,DCEP,FIRST_OVERTONE
Gaia DR3 5329405672431387648,5329405672431387648,130.00863793382453,-47.19841748626319,265.6569198124699,-3.3608807915291785,0.07032059990804246,0.012979595,5.417781,13.971668,1.3574868,,-61.664400120661085,31,DCEP,FUNDAMENTAL
Gaia DR3 5329899043907713408,5329899043907713408,132.06637346644547,-45.96267916436385,265.56229351134306,-1.4852336098733405,0.1366508375940476,0.01197373,11.412554,13.157577,1.2400398,,-59.863892451932095,31,DCEP,FUNDAMENTAL
Gaia DR3 3423753520973421312,3423753520973421312,91.33144223950934,22.547971933357516,187.75231623350396,0.606442923346579,0.18384786784495494,0.016614143,11.065744,12.279543,1.3767756,,-0.8856250977441846,31,DCEP,FIRST_OVERTONE
Gaia DR3 3425576270732293632,3425576270732293632,93.9995282424924,23.74748704466431,187.88218978482547,3.334100493607006,0.28421910107169657,0.019894376,14.286404,11.682473,1.4089577,,0.3590123532366831,31,DCEP,FUNDAMENTAL
Gaia DR3 419703349473530240,419703349473530240,4.678346521953723,54.03923653908334,118.08475089268316,-8.524243610631766,0.032245100226251086,0.0143653555,2.2446434,13.535321,1.4319936,,46.3505094463141,31,DCEP,FUNDAMENTAL
Gaia DR3 4654617141439458048,4654617141439458048,75.0927437317705,-71.43358334633042,282.97834178359295,-34.35155873587319,-0.017764631925773305,0.020325577,-0.8740038,15.396107,1.5333622,,-82.80376216135421,31,DCEP,FUNDAMENTAL
Gaia DR3 4654802821464411648,4654802821464411648,72.28698746729918,-70.845050303453,282.6535877641456,-35.39928112216297,-0.04714974487996941,0.015133944,-3.1154962,14.646347,1.485,,-82.31488038604515,31,DCEP,FUNDAMENTAL
Gaia DR3 4655021967879773696,4655021967879773696,70.43860620322428,-69.74188640549355,281.6481169198043,-36.36961302483408,-0.020792565997305668,0.047814313,-0.4348607,16.868443,1.5662558,,-82.10011163457527,31,DCEP,FIRST_OVERTONE
Gaia DR3 2932101334643047680,2932101334643047680,105.10346798885641,-20.431695423452343,232.20493213785986,-7.268798357345005,0.16444432799695252,0.015534368,10.585839,12.697797,1.4647837,,-42.85619974548982,31,DCEP,FUNDAMENTAL
Gaia DR3 5265967905944337408,5265967905944337408,93.3164164353382,-72.59409763845544,283.2917701171079,-28.6359116613693,0.03327655381334109,0.029071389,1.1446496,16.02305,1.5734361,,-83.85894959733217,31,DCEP,FIRST_OVERTONE
Gaia DR3 4312947369135938688,4312947369135938688,289.63780775233806,12.0226950480955,46.7021837863258,-0.4445453922392724,0.33454857327995735,0.027223395,12.28901,12.915381,1.2191484,,33.88540468371596,31,DCEP,FIRST_OVERTONE
Gaia DR3 5308272543568041600,5308272543568041600,148.49340651285735,-54.49460672635902,278.97153029841013,-0.09642236439935453,0.08395060213985887,0.020346073,4.126133,14.901212,1.3396686,,-60.182879677456306,31,DCEP,FIRST_OVERTONE
Gaia DR3 4661275852634190080,4661275852634190080,76.9528811106985,-68.6340694461649,279.50277119818276,-34.493226904821434,-0.673437730759626,0.2020706,-3.3326852,14.705195,1.5877014,,-84.62578024900428,31,DCEP,FUNDAMENTAL
Gaia DR3 5932565900081831040,5932565900081831040,242.83526242559228,-54.35413510060747,329.456249698135,-2.1199109505786846,0.4591116031656825,0.020244818,22.67798,8.623737,1.4755307,,-32.63826644229416,31,DCEP,FIRST_OVERTONE
Gaia DR3 2036471357742521728,2036471357742521728,288.997893164772,27.9263037674546,60.564332310826494,7.43887894469749,2.2875659799177335,0.020625575,110.9092,6.0216484,1.5526813,,49.64100339340048,31,DCEP,FIRST_OVERTONE
Gaia DR3 4077204791875454976,4077204791875454976,276.62456747758426,-24.821709994624456,8.044970502152923,-5.951827531133234,0.24807186220103428,0.019031834,13.0345745,12.951572,1.4888259,,-1.5205830307980843,31,DCEP,FIRST_OVERTONE
Gaia DR3 5333022000564072832,5333022000564072832,179.13938651460248,-63.461298326319955,296.8473177342952,-1.239741555823233,0.08466191592556901,0.02320004,3.6492143,13.766044,1.2876168,,-55.434586180754884,31,DCEP,FIRST_OVERTONE
Gaia DR3 2013344882984638464,2013344882984638464,345.398390689909,58.983345825696425,109.18382163739209,-0.9248120856866724,0.2773978032957137,0.017108299,16.214224,14.19829,1.2999029,,56.926406930109394,31,DCEP,MULTI
Gaia DR3 5255256669866274816,5255256669866274816,156.8742892821474,-59.35958966351219,285.50115827635153,-1.4495647782232912,0.3974184782413058,0.01098419,36.180954,12.461538,1.5017139,,-60.343398005754594,31,DCEP,FIRST_OVERTONE
Gaia DR3 4658656609733883648,4658656609733883648,81.28446938683435,-67.64415381063858,277.95473112394694,-33.1060053912553,0.04056822313585461,0.0151254805,2.6821115,12.167468,1.462241,,-86.44355406964713,31,DCEP,FUNDAMENTAL
